Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.48716E-4,82.83534241,0.906389563,0.014814815,0.815189873,0
9.52712E-4,83.025584601,0.907318941,0.014622415,0.820253165,0
9.57543E-4,83.312441795,0.908429939,0.014333814,0.820253165,0
9.58404E-4,83.504119299,0.908626558,0.014141414,0.82278481,0
9.62761E-4,83.792698246,0.909615275,0.013852814,0.82278481,0
9.69741E-4,84.083439667,0.91117668,0.013564214,0.825316456,0
9.70736E-4,84.277563464,0.911397074,0.013371813,0.827848101,0
9.73331E-4,84.569220178,0.91196916,0.013083213,0.830379747,0
9.75588E-4,84.764322764,0.912463953,0.012890813,0.830379747,0
9.80123E-4,85.057937746,0.913449425,0.012602213,0.832911392,0
9.81539E-4,85.254145588,0.913754931,0.012409812,0.835443038,0
9.89809E-4,85.550603255,0.915517214,0.012121212,0.837974684,0
9.97351E-4,85.849348052,0.917093135,0.011832612,0.84556962,0
9.99898E-4,86.04929922,0.917618714,0.011640212,0.850632911,0
1.00252E-3,86.349836364,0.918157107,0.011351611,0.853164557,0
1.00533E-3,86.550826324,0.91872919,0.011159211,0.855696203,0
1.00667E-3,86.752082015,0.918999852,0.010966811,0.855696203,0
1.0136E-3,87.05587987,0.920388466,0.010678211,0.855696203,0
1.01808E-3,87.259128886,0.921273937,0.01048581,0.858227848,0
1.03378E-3,87.567460333,0.924301028,0.01019721,0.863291139,0
1.03609E-3,87.774628786,0.924736552,0.01000481,0.86835443,0
1.03933E-3,88.086028648,0.925341779,0.00971621,0.875949367,0
1.04341E-3,88.294661818,0.92609914,0.00952381,0.875949367,0
1.04992E-3,88.504614241,0.927289745,0.009331409,0.881012658,0
1.05632E-3,88.820694598,0.928443059,0.009042809,0.883544304,0
1.05781E-3,89.032188801,0.928709308,0.008850409,0.883544304,0
1.06264E-3,89.350282558,0.929562684,0.008561809,0.891139241,0
1.07267E-3,89.564275483,0.931305923,0.008369408,0.896202532,0
1.0802E-3,89.77963874,0.932585455,0.008177008,0.896202532,0
1.0882E-3,90.105793875,0.933918209,0.007888408,0.898734177,0
1.09086E-3,90.323912545,0.934355048,0.007696008,0.901265823,0
1.09273E-3,90.542295568,0.934661815,0.007503608,0.903797468,0
1.09669E-3,90.761469248,0.935304635,0.007311207,0.903797468,0
1.10496E-3,91.092078933,0.936626718,0.007022607,0.906329114,0
1.10752E-3,91.313463354,0.937029072,0.006830207,0.911392405,0
1.11578E-3,91.53613621,0.93831553,0.006637807,0.913924051,0
1.12225E-3,91.760370771,0.939303221,0.006445406,0.913924051,0
1.1235E-3,92.097312901,0.939492868,0.006156806,0.916455696,0
